Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,duration,year_name,start_year,end_year,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,hay_residue_kgha,crop,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,crop_residue_avg_kgha,crop_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,reference,flag,theme,TrtID,simple_trt_name,r_c,tillage_soil,tillage_type,irrigation_region,irrigation,cinput_lignin_px,cinput_n_px,Location,POLYID,ECO_ID,SL,PROVINCE,PCPTREGION,lowest_depth,soc_tha_lowest_depth,initial_dsm,lowest_depth_difference,first_soc_treatment,soc_dsm_difference,soc_tha_30cm
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,304,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,3,54,1973,1951,2004,NT,0,NA,0.9,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,304,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,3,54,1979,1951,2004,NT,0,NA,2.74,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,304,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,3,54,1985,1951,2004,NT,0,NA,NA,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,304,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,3,54,1991,1951,2004,NT,0,NA,0.59,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,304E,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,3,54,2003,1951,2004,NT,0,NA,4.41,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,424,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,4,54,1955,1951,2004,NT,0,NA,1.72,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,424,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,4,54,1961,1951,2004,NT,0,NA,0.7,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,424,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,4,54,1967,1951,2004,NT,0,NA,5.8,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,424,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,4,54,1973,1951,2004,NT,0,NA,1.2,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,424,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,4,54,1979,1951,2004,NT,0,NA,3.12,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,424,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,4,54,1985,1951,2004,NT,0,NA,NA,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,424,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,4,54,1991,1951,2004,NT,0,NA,0.42,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,424W,NA,21,Fw-Wt-Wt-Hy-Hy-Hy I,4,54,2003,1951,2004,NT,0,NA,4.45,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_21,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,NA,NA,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1956,1951,2004,NT,0,NA,3.48,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,109.1,-17.599999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1962,1951,2004,NT,0,NA,0.5,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,109.1,-17.599999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1968,1951,2004,NT,0,NA,2.2,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,109.1,-17.599999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1974,1951,2004,NT,0,NA,2.14,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,109.1,-17.599999999999994,NA
